"location","date","value","race_ethnicity","target"
"06","2020-01-25",0,"overall","inc case"
"06","2020-02-01",3,"overall","inc case"
"06","2020-02-08",3,"overall","inc case"
"06","2020-02-15",2,"overall","inc case"
"06","2020-02-22",0,"overall","inc case"
"06","2020-02-29",3,"overall","inc case"
"06","2020-03-07",81,"overall","inc case"
"06","2020-03-14",241,"overall","inc case"
"06","2020-03-21",1061,"overall","inc case"
"06","2020-03-28",6118,"overall","inc case"
"06","2020-04-04",5320,"overall","inc case"
"06","2020-04-11",8627,"overall","inc case"
"06","2020-04-18",9181,"overall","inc case"
"06","2020-04-25",11790,"overall","inc case"
"06","2020-05-02",11451,"overall","inc case"
"06","2020-05-09",13378,"overall","inc case"
"06","2020-05-16",12208,"overall","inc case"
"06","2020-05-23",14077,"overall","inc case"
"06","2020-05-30",17986,"overall","inc case"
"06","2020-06-06",18378,"overall","inc case"
"06","2020-06-13",20765,"overall","inc case"
"06","2020-06-20",26769,"overall","inc case"
"06","2020-06-27",39932,"overall","inc case"
"06","2020-07-04",49494,"overall","inc case"
"06","2020-07-11",61250,"overall","inc case"
"06","2020-07-18",62557,"overall","inc case"
"06","2020-07-25",66880,"overall","inc case"
"06","2020-08-01",57986,"overall","inc case"
"06","2020-08-08",46413,"overall","inc case"
"06","2020-08-15",65502,"overall","inc case"
"06","2020-08-22",41872,"overall","inc case"
"06","2020-08-29",36280,"overall","inc case"
"06","2020-09-05",32449,"overall","inc case"
"06","2020-09-12",23025,"overall","inc case"
"06","2020-09-19",24011,"overall","inc case"
"06","2020-09-26",24654,"overall","inc case"
"06","2020-10-03",23631,"overall","inc case"
"06","2020-10-10",23439,"overall","inc case"
"06","2020-10-17",21876,"overall","inc case"
"06","2020-10-24",31733,"overall","inc case"
"06","2020-10-31",29834,"overall","inc case"
"06","2020-11-07",41873,"overall","inc case"
"06","2020-11-14",57118,"overall","inc case"
"06","2020-11-21",89098,"overall","inc case"
"06","2020-11-28",101640,"overall","inc case"
"06","2020-12-05",155691,"overall","inc case"
"06","2020-12-12",225121,"overall","inc case"
"06","2020-12-19",310548,"overall","inc case"
"06","2020-12-26",277574,"overall","inc case"
"06","2021-01-02",282372,"overall","inc case"
"06","2021-01-09",295678,"overall","inc case"
"06","2021-01-16",278911,"overall","inc case"
"06","2021-01-23",172340,"overall","inc case"
"06","2021-01-30",139182,"overall","inc case"
"06","2021-02-06",98940,"overall","inc case"
"06","2021-02-13",70839,"overall","inc case"
"06","2021-02-20",46798,"overall","inc case"
"06","2021-02-27",38740,"overall","inc case"
"06","2021-03-06",31349,"overall","inc case"
"06","2021-03-13",24392,"overall","inc case"
"06","2021-03-20",20587,"overall","inc case"
"06","2021-03-27",18753,"overall","inc case"
"06","2021-04-03",18793,"overall","inc case"
"37","2020-01-25",0,"overall","inc case"
"37","2020-02-01",0,"overall","inc case"
"37","2020-02-08",0,"overall","inc case"
"37","2020-02-15",0,"overall","inc case"
"37","2020-02-22",0,"overall","inc case"
"37","2020-02-29",0,"overall","inc case"
"37","2020-03-07",2,"overall","inc case"
"37","2020-03-14",30,"overall","inc case"
"37","2020-03-21",255,"overall","inc case"
"37","2020-03-28",818,"overall","inc case"
"37","2020-04-04",1530,"overall","inc case"
"37","2020-04-11",1900,"overall","inc case"
"37","2020-04-18",1989,"overall","inc case"
"37","2020-04-25",2405,"overall","inc case"
"37","2020-05-02",3000,"overall","inc case"
"37","2020-05-09",3073,"overall","inc case"
"37","2020-05-16",3752,"overall","inc case"
"37","2020-05-23",4569,"overall","inc case"
"37","2020-05-30",5413,"overall","inc case"
"37","2020-06-06",6985,"overall","inc case"
"37","2020-06-13",8574,"overall","inc case"
"37","2020-06-20",8714,"overall","inc case"
"37","2020-06-27",9727,"overall","inc case"
"37","2020-07-04",11043,"overall","inc case"
"37","2020-07-11",12713,"overall","inc case"
"37","2020-07-18",14002,"overall","inc case"
"37","2020-07-25",13633,"overall","inc case"
"37","2020-08-01",12953,"overall","inc case"
"37","2020-08-08",11147,"overall","inc case"
"37","2020-08-15",9793,"overall","inc case"
"37","2020-08-22",10869,"overall","inc case"
"37","2020-08-29",11488,"overall","inc case"
"37","2020-09-05",10318,"overall","inc case"
"37","2020-09-12",8250,"overall","inc case"
"37","2020-09-19",9321,"overall","inc case"
"37","2020-09-26",9508,"overall","inc case"
"37","2020-10-03",9112,"overall","inc case"
"37","2020-10-10",12866,"overall","inc case"
"37","2020-10-17",13973,"overall","inc case"
"37","2020-10-24",14567,"overall","inc case"
"37","2020-10-31",16343,"overall","inc case"
"37","2020-11-07",16610,"overall","inc case"
"37","2020-11-14",17873,"overall","inc case"
"37","2020-11-21",23143,"overall","inc case"
"37","2020-11-28",25697,"overall","inc case"
"37","2020-12-05",30594,"overall","inc case"
"37","2020-12-12",41224,"overall","inc case"
"37","2020-12-19",42492,"overall","inc case"
"37","2020-12-26",41662,"overall","inc case"
"37","2021-01-02",44507,"overall","inc case"
"37","2021-01-09",55918,"overall","inc case"
"37","2021-01-16",53471,"overall","inc case"
"37","2021-01-23",44890,"overall","inc case"
"37","2021-01-30",39911,"overall","inc case"
"37","2021-02-06",38894,"overall","inc case"
"37","2021-02-13",27203,"overall","inc case"
"37","2021-02-20",21372,"overall","inc case"
"37","2021-02-27",18452,"overall","inc case"
"37","2021-03-06",13628,"overall","inc case"
"37","2021-03-13",10539,"overall","inc case"
"37","2021-03-20",12548,"overall","inc case"
"37","2021-03-27",10265,"overall","inc case"
"37","2021-04-03",10631,"overall","inc case"
