"date","location","value","race_ethnicity","target"
2020-03-07,"37",0,"white","inc case"
2020-03-14,"37",35,"white","inc case"
2020-03-21,"37",423,"white","inc case"
2020-03-28,"37",567,"white","inc case"
2020-04-04,"37",517,"white","inc case"
2020-04-11,"37",897,"white","inc case"
2020-04-18,"37",751,"white","inc case"
2020-04-25,"37",1146,"white","inc case"
2020-05-02,"37",1109,"white","inc case"
2020-05-09,"37",1471,"white","inc case"
2020-05-16,"37",1845,"white","inc case"
2020-05-23,"37",2187,"white","inc case"
2020-05-30,"37",2343,"white","inc case"
2020-06-06,"37",3082,"white","inc case"
2020-06-13,"37",3493,"white","inc case"
2020-06-20,"37",4225,"white","inc case"
2020-06-27,"37",5042,"white","inc case"
2020-07-04,"37",5087,"white","inc case"
2020-07-11,"37",6050,"white","inc case"
2020-07-18,"37",5757,"white","inc case"
2020-07-25,"37",5647,"white","inc case"
2020-08-01,"37",5320,"white","inc case"
2020-08-08,"37",4838,"white","inc case"
2020-08-15,"37",4686,"white","inc case"
2020-08-22,"37",5775,"white","inc case"
2020-08-29,"37",5568,"white","inc case"
2020-09-05,"37",5010,"white","inc case"
2020-09-12,"37",4537,"white","inc case"
2020-09-19,"37",4795,"white","inc case"
2020-09-26,"37",4930,"white","inc case"
2020-10-03,"37",6754,"white","inc case"
2020-10-10,"37",7429,"white","inc case"
2020-10-17,"37",7902,"white","inc case"
2020-10-24,"37",8238,"white","inc case"
2020-10-31,"37",8637,"white","inc case"
2020-11-07,"37",9525,"white","inc case"
2020-11-14,"37",12490,"white","inc case"
2020-11-21,"37",12680,"white","inc case"
2020-11-28,"37",11655,"white","inc case"
2020-12-05,"37",17651,"white","inc case"
2020-12-12,"37",17501,"white","inc case"
2020-12-19,"37",19032,"white","inc case"
2020-12-26,"37",15809,"white","inc case"
2021-01-02,"37",22207,"white","inc case"
2021-01-09,"37",23207,"white","inc case"
2021-01-16,"37",19067,"white","inc case"
2021-01-23,"37",15561,"white","inc case"
2021-01-30,"37",12968,"white","inc case"
2021-02-06,"37",11281,"white","inc case"
2021-02-13,"37",10907,"white","inc case"
2021-02-20,"37",8966,"white","inc case"
2021-02-27,"37",7177,"white","inc case"
2021-03-06,"37",5837,"white","inc case"
2021-03-13,"37",5577,"white","inc case"
2021-03-20,"37",5631,"white","inc case"
2021-03-27,"37",6074,"white","inc case"
2021-04-03,"37",5566,"white","inc case"
2020-03-07,"37",0,"black","inc case"
2020-03-14,"37",8,"black","inc case"
2020-03-21,"37",173,"black","inc case"
2020-03-28,"37",338,"black","inc case"
2020-04-04,"37",448,"black","inc case"
2020-04-11,"37",592,"black","inc case"
2020-04-18,"37",675,"black","inc case"
2020-04-25,"37",777,"black","inc case"
2020-05-02,"37",559,"black","inc case"
2020-05-09,"37",647,"black","inc case"
2020-05-16,"37",707,"black","inc case"
2020-05-23,"37",832,"black","inc case"
2020-05-30,"37",746,"black","inc case"
2020-06-06,"37",880,"black","inc case"
2020-06-13,"37",974,"black","inc case"
2020-06-20,"37",1091,"black","inc case"
2020-06-27,"37",1565,"black","inc case"
2020-07-04,"37",2005,"black","inc case"
2020-07-11,"37",2394,"black","inc case"
2020-07-18,"37",2616,"black","inc case"
2020-07-25,"37",2379,"black","inc case"
2020-08-01,"37",2054,"black","inc case"
2020-08-08,"37",1762,"black","inc case"
2020-08-15,"37",1701,"black","inc case"
2020-08-22,"37",1686,"black","inc case"
2020-08-29,"37",1796,"black","inc case"
2020-09-05,"37",1468,"black","inc case"
2020-09-12,"37",1341,"black","inc case"
2020-09-19,"37",1609,"black","inc case"
2020-09-26,"37",1622,"black","inc case"
2020-10-03,"37",1810,"black","inc case"
2020-10-10,"37",1824,"black","inc case"
2020-10-17,"37",2307,"black","inc case"
2020-10-24,"37",2707,"black","inc case"
2020-10-31,"37",2447,"black","inc case"
2020-11-07,"37",2819,"black","inc case"
2020-11-14,"37",3736,"black","inc case"
2020-11-21,"37",3864,"black","inc case"
2020-11-28,"37",3533,"black","inc case"
2020-12-05,"37",5124,"black","inc case"
2020-12-12,"37",5008,"black","inc case"
2020-12-19,"37",4841,"black","inc case"
2020-12-26,"37",4566,"black","inc case"
2021-01-02,"37",6077,"black","inc case"
2021-01-09,"37",7189,"black","inc case"
2021-01-16,"37",6141,"black","inc case"
2021-01-23,"37",5147,"black","inc case"
2021-01-30,"37",4460,"black","inc case"
2021-02-06,"37",4370,"black","inc case"
2021-02-13,"37",3542,"black","inc case"
2021-02-20,"37",2771,"black","inc case"
2021-02-27,"37",2361,"black","inc case"
2021-03-06,"37",1994,"black","inc case"
2021-03-13,"37",1808,"black","inc case"
2021-03-20,"37",2054,"black","inc case"
2021-03-27,"37",2408,"black","inc case"
2021-04-03,"37",2533,"black","inc case"
2020-03-07,"37",0,"other","inc case"
2020-03-14,"37",3,"other","inc case"
2020-03-21,"37",26,"other","inc case"
2020-03-28,"37",65,"other","inc case"
2020-04-04,"37",77,"other","inc case"
2020-04-11,"37",154,"other","inc case"
2020-04-18,"37",222,"other","inc case"
2020-04-25,"37",371,"other","inc case"
2020-05-02,"37",428,"other","inc case"
2020-05-09,"37",492,"other","inc case"
2020-05-16,"37",681,"other","inc case"
2020-05-23,"37",900,"other","inc case"
2020-05-30,"37",1162,"other","inc case"
2020-06-06,"37",1624,"other","inc case"
2020-06-13,"37",1679,"other","inc case"
2020-06-20,"37",1577,"other","inc case"
2020-06-27,"37",1672,"other","inc case"
2020-07-04,"37",1715,"other","inc case"
2020-07-11,"37",1883,"other","inc case"
2020-07-18,"37",1964,"other","inc case"
2020-07-25,"37",1872,"other","inc case"
2020-08-01,"37",1587,"other","inc case"
2020-08-08,"37",1259,"other","inc case"
2020-08-15,"37",1187,"other","inc case"
2020-08-22,"37",1402,"other","inc case"
2020-08-29,"37",1618,"other","inc case"
2020-09-05,"37",1278,"other","inc case"
2020-09-12,"37",1020,"other","inc case"
2020-09-19,"37",915,"other","inc case"
2020-09-26,"37",974,"other","inc case"
2020-10-03,"37",1312,"other","inc case"
2020-10-10,"37",1466,"other","inc case"
2020-10-17,"37",1598,"other","inc case"
